id,name,date,end_time,time,location,description,photo,link
home-away-from-home,Home Away From Home,2026-09-22,19:30,5:30–7:30 PM,"KP 208, Koffler House · 569 Spadina Cres","An evening celebrating Burmese culture — food, conversation, and community. Meet fellow Burmese students, and hear from representatives of the Embassy of Myanmar in Ottawa on consular services, including passport renewal.",images/events/home-away-from-home.jpg,https://forms.gle/wE9f6srzzx7xUEpq8
welcome-picnic,MCC Welcome Picnic,2026-09-20,,,Front Campus,,images/events/welcome-picnic.jpg,
toronto-ready,Toronto Ready,2026-08-24,,,Online · Zoom,,images/events/toronto-ready.jpg,
hihi-culture-exchange,HiHi Culture Exchange,2026-03-27,,,"Cumberland Room, CIE",,images/events/hihi-culture-exchange.jpg,
badminton-social,Badminton Social,2026-03-08,,,Vision Badminton Centre,,images/events/badminton-social.jpg,
sea-of-love,Sea of Love × UofT MSSA,2026-02-13,,,1080 Bay St,,images/events/sea-of-love.jpg,
thingyan-festival,Thingyan Festival,2026-04-18,20:00,3–8 PM,"1133 Leslie St #101, North York, ON","Myanmar New Year celebration with traditional performances, Thingyan music, delicious Burmese food, and raffle draws. Hosted by the Burmese Canadian Association of Ontario (BCAO); promoted by MCC UofT.",images/events/thingyan-festival.jpg,
origami-workshop,Origami Workshop,2026-01-28,19:00,5:00–7:00 PM,RW143,"UTFOLD and MCC present a Burmese-inspired origami workshop — a cozy evening of folding, snacks, and learning about Burmese culture. No experience needed.",images/events/origami-workshop.jpg,
condo-party,New Year's Condo Party,2026-01-17,23:00,7–11 PM,88 Cumberland,"Kickstart 2026 with MCC's New Year party — open bar with Burmese-inspired cocktails, snacks, games, and karaoke.",images/events/condo-party.jpg,
burmese-language-workshop,Burmese Language Workshop,2025-11-13,15:00,1–3 PM,OISE 5270,"A Burmese language workshop for all levels, beginner to advanced — learn the alphabet, writing, and useful phrases.",images/events/burmese-language-workshop.jpg,
back-to-school-picnic,Back to School Picnic,2025-09-13,,3 PM,King's College Circle,"MCC's first event of the school year — an afternoon picnic to meet the execs and make new friends in the Burmese community. Light refreshments provided.",images/events/back-to-school-picnic.jpg,
roll-and-shuffle,Roll & Shuffle with MCC,2025-04-30,17:00,1–5 PM,"Snakes & Lattes Annex, 600 Bloor St W","An afternoon of board games with MCC — free to attend, open to UofT students from all three campuses.",images/events/roll-and-shuffle.jpg,
intercultural-adventure,An Intercultural Adventure,2025-01-24,15:10,1:10–3:10 PM,"Cumberland House, Cumberland Room","MCC × UTChinese Network Student Association collab — snacks and fun games together.",images/events/intercultural-adventure.jpg,
pub-night,An MCC Pub Night,2024-12-27,19:30,7:30 PM,"Duke of York Pub, 39 Prince Arthur Ave","A holiday MCC pub night — mingling with friends and delicious platters on MCC.",images/events/pub-night.jpg,
mcc-mixer,MCC Mixer,2024-03-24,21:00,5–9 PM,"William Doo Auditorium, 45 Wilcocks St","MCC's first ever mixer — a night of food, music, and fun. Free to attend.",images/events/mcc-mixer.jpg,
sweet-taste-myanmar-china,A Sweet Taste of Myanmar & China,2024-03-22,15:30,1–3:30 PM,"Cumberland Room, Cumberland House","Free desserts and tea, hosted by MCC in collaboration with the UTChinese Network Student Association.",images/events/sweet-taste-myanmar-china.jpg,
savoury-taste-myanmar,A Savoury Taste of Myanmar: Ohn No Khao Swe,2024-03-08,,,Cumberland Room,"MCC shared Ohn No Khao Swe, a Burmese coconut noodle soup, sponsored by the Centre for International Experience (CIE).",images/events/savoury-taste-myanmar.jpg,
multicultural-munch,Multicultural Munch,2023-11-03,18:00,4–6 PM,"UTSU Student Commons, 5th Floor Lounge","MCC joined four other clubs sharing cultural foods, serving the Burmese dessert Shwe Yin Aye.",images/events/multicultural-munch.jpg,
buddhist-temple-visit,Mahādhammika Myanmar Buddhist Temple Visit,2023-09-17,16:00,9 AM–4 PM,"Mahādhammika Myanmar Buddhist Temple, North York, ON","A free trip to learn about Buddhism, practice guided meditation with a monk, and enjoy a Burmese lunch. Bus transportation provided.",images/events/buddhist-temple-visit.jpg,
hihi-culture-trivia-2023,"""Hi Hi"": UTCN × MCC Culture Exchange",2023-03-17,17:00,3–5 PM,Woodsworth Room 120,"Cross-ethnic networking session with Myanmar and Chinese culture trivia, a Myanmar makeup feature, and food and tea tasting. Co-hosted with UTChinese Network.",images/events/hihi-culture-trivia-2023.jpg,
multicultural-bazaar-giveaway,Multicultural Bazaar: Food Giveaway,2022-11-22,,,"Multicultural Bazaar, UofT Student Commons","MCC gave away traditional Burmese food — Ei Kyar Kway (deep-fried dough snack) and Laphat Yay (Burmese milk tea) — at the Multicultural Bazaar.",images/events/multicultural-bazaar-giveaway.jpg,
